CAMPUS,CNAME,reading_score_2003
1902103,CAYUGA EL,2330.0
1903101,ELKHART EL,2285.0
1904102,FRANKSTON EL,2299.0
1906102,NECHES EL,2236.0
1907110,STORY EL,2202.0
1908101,WESTWOOD EL,2262.0
1909101,SLOCUM EL,2374.0
2901101,DEVONIAN ELEM,2310.0
2901103,SAN ANDRES ELEM,2273.0
2901104,UNDERWOOD ELEM,2222.0
2901105,CLEARFORK EL,2253.0
3801001,PINEYWOODS COMM,2200.0
3902102,HUDSON EL,2265.0
3903120,ANDERSON EL,2287.0
3903121,BRANDON EL,2280.0
3903122,BROOKHOLLOW EL,2293.0
3903123,COSTON EL,2196.0
3903129,SLACK EL,2201.0
3904101,HUNTINGTON EL,2261.0
3905101,TEMPLE EL,2229.0
3906101,ZAVALLA EL,2282.0
3907102,CENTRAL EL,2261.0
4901103,LIVEOAK 1-3 LEA,2260.0
5901101,ARCHER CITY EL,2311.0
5902101,HOLLIDAY EL,2303.0
5903001,MEGARGEL SCHOOL,
5904101,WINDTHORST EL,2337.0
6902101,CLAUDE EL,2283.0
7901101,CHARLOTTE EL,2255.0
7902101,JOURDANTON EL,2298.0
7904101,LYTLE EL,2255.0
7905103,PLEASANTON EL,2230.0
7906101,POTEET ELEMENTA,2180.0
8901101,O'BRYANT PRIMAR,2299.0
8901102,O'BRYANT INT,
8901105,WEST END EL,2375.0
8902102,SELMAN EL,2232.0
8903102,BRAZOS EL,2212.0
9901101,MARY DESHAZO EL,2259.0
10901101,MEDINA EL,2278.0
10902101,ALKEK EL,2251.0
10902102,HILL COUNTRY EL,2290.0
11901101,EMILE ELEMENTAR,2241.0
11901102,MINA ELEMENTARY,2276.0
11901103,CEDAR CREEK ELE,2195.0
11901107,RED ROCK ELEMEN,2243.0
11902101,BOOKER T WASHIN,2206.0
11904102,BROWN PRI,2264.0
11905101,MCDADE EL,2164.0
12901101,SEYMOUR EL,2369.0
13801101,ST MARY'S ACADE,2283.0
13901101,R A HALL ELEMEN,2255.0
13901102,FADDEN-MCKEOWN-,2165.0
13901104,MADDERRA-FLOURN,2253.0
13902101,PAWNEE EL-J H,2319.0
13903101,PETTUS EL,2320.0
13905101,SKIDMORE-TYNAN,2230.0
14803101,TOVAS-TACTILE O,
14804001,CEDAR CREST CHA,
14901101,ACADEMY EL,2297.0
14902101,BARTLETT EL,2241.0
14903102,LEON HEIGHTS EL,2301.0
14903103,MILLER HEIGHTS,2265.0
14903104,SOUTHWEST EL,2202.0
14903108,LAKEWOOD EL,2350.0
14903109,SPARTA EL,2326.0
14903111,JOE M PIRTLE EL,2307.0
14905101,HOLLAND EL,2356.0
14906022,METROPLEX SCHOO,
14906102,CLIFTON PARK EL,2321.0
14906103,EAST WARD ELEME,2210.0
14906104,FOWLER ELEMENTA,2319.0
14906105,HARKER HEIGHTS,2245.0
14906106,HAYNES ELEMENTA,2268.0
14906108,MEADOWS ELEMENT,2315.0
14906109,PEEBLES ELEMENT,2304.0
14906110,PERSHING PARK E,2268.0
14906111,SUGAR LOAF ELEM,2231.0
14906112,WEST WARD EL,2161.0
14906113,BELLAIRE ELEMEN,2239.0
14906114,MARLBORO EL,
14906115,NOLANVILLE ELEM,2267.0
14906116,CLARKE ELEMENTA,2271.0
14906117,DUNCAN ELEMENTA,2253.0
14906119,HAY BRANCH ELEM,2274.0
14906120,WILLOW SPRINGS,2227.0
14906121,MOUNTAIN VIEW E,2363.0
14906122,REECES CREEK EL,2255.0
14906123,CLEAR CREEK ELE,2255.0
14906124,CEDAR VALLEY EL,2269.0
14906126,VENABLE VILLAGE,2260.0
14906127,TRIMMIER ELEMEN,2245.0
14906128,MONTAGUE VILLAG,2204.0
14906129,MAXDALE ELEMENT,2264.0
14906130,IRA CROSS JR EL,2168.0
14907102,ROGERS EL,2275.0
14908101,THOMAS ARNOLD E,2288.0
14909102,CATER EL,2348.0
14909107,JEFFERSON EL,2214.0
14909110,SCOTT EL,2182.0
14909111,THORNTON EL,2300.0
14909114,WESTERN HILLS E,2231.0
14909115,MERIDITH-DUNBAR,2232.0
14909116,RAYE-ALLEN EL,2153.0
14909117,KENNEDY-POWELL,2240.0
14909118,HECTOR P GARCIA,2158.0
14910101,TROY ELEMENTARY,2307.0
15803101,HIGGS CARTER KI,2097.0
15805101,NEW FRONTIERS C,2201.0
15806101,SCHOOL OF EXCEL,2258.0
15806103,ALPHA II,2185.0
15809101,BEXAR COUNTY AC,2152.0
15811101,ESCUELA DE LAS,2128.0
15815001,RADIANCE ACADEM,2196.0
15815101,RADIANCE ACADEM,2122.0
15819001,SHEKINAH RADIAN,2149.0
15819101,SHEKINAH HOPE,2222.0
15819102,SHEKINAH WALZEM,2192.0
15820001,SAN ANTONIO SCH,2189.0
15822001,JUBILEE ACADEMI,2095.0
15901101,CAMBRIDGE EL,2313.0
15901104,WOODRIDGE EL,2324.0
15904101,CARROLL BELL EL,2258.0
15904102,BELLAIRE EL,2238.0
15904103,COLLIER EL,2299.0
15904104,COLUMBIA HEIGHT,2252.0
15904105,FLANDERS/K RAY,2205.0
15904106,V M ADAMS EL,2217.0
15904107,GILLETTE EL,2238.0
15904108,H W SCHULZE EL,2235.0
15904109,MORRILL EL,2273.0
15904110,RAYBURN EL,2242.0
15904111,SCHEH EL,2229.0
15904113,VESTAL EL,2216.0
15904114,WRIGHT EL,2150.0
15904116,E H GILBERT EL,2300.0
15905101,HOELSCHER ELEME,2158.0
15905102,BURLESON ELEMEN,2037.0
15905104,CENIZO PARK ELE,2168.0
15905105,CORONADO/ESCOBA,2160.0
15905106,ALONSO S PERALE,2172.0
15905107,EMMA FREY ELEME,2112.0
15905108,GARDENDALE ELEM,2261.0
15905109,L B JOHNSON ELE,2129.0
15905112,LOMA PARK ELEME,2140.0
15905114,STAFFORD ELEMEN,2215.0
15905115,H K WILLIAMS EL,2141.0
15905116,WINSTON ELEMENT,2237.0
15905117,H B GONZALEZ EL,2183.0
15906101,RANDOLPH EL,2321.0
15907101,ARNOLD EL,2209.0
15907102,STEPHEN F AUSTI,2195.0
15907103,CHARLES C BALL,2208.0
15907105,BASKIN EL,2293.0
15907106,BEACON HILL EL,2201.0
15907107,BONHAM EL,2248.0
15907108,JAMES BOWIE EL,2235.0
15907109,HENRY CARROLL E,2175.0
15907110,J T BRACKENRIDG,2149.0
15907111,BREWER EL,2163.0
15907112,BRISCOE EL,2363.0
15907114,CAMERON EL,2244.0
15907115,CARVAJAL EL,2162.0
15907116,COLLINS GARDEN,2248.0
15907117,AGNES COTTON EL,2181.0
15907118,DAVID CROCKETT,2189.0
15907119,DOUGLASS EL,2125.0
15907121,DE ZAVALA EL,2169.0
15907123,FENWICK EL,2196.0
15907124,MURIEL FORBES E,2212.0
15907125,FOSTER EL,2182.0
15907126,FRANKLIN EL,2216.0
15907127,GATES EL,2111.0
15907129,CHARLES GRAEBNE,2249.0
15907131,ROBERT B GREEN,2217.0
15907132,HERFF EL,2132.0
15907134,HIGHLAND HILLS,2222.0
15907135,HIGHLAND PARK E,2196.0
15907136,HILLCREST EL,2203.0
15907137,HIRSCH EL,2176.0
15907139,HUPPERTZ EL,2250.0
15907140,RODRIGUEZ EL,2201.0
15907141,ELOISE JAPHET E,2264.0
15907143,GEORGE E KELLY,2187.0
15907144,SARAH S KING EL,2174.0
15907145,W J KNOX EL,2169.0
15907146,LAMAR EL,2262.0
