CAMPUS,reading_score_2004
1902103,2392.0
1903101,2263.0
1904102,2242.0
1906102,2218.0
1907110,2200.0
1908101,2210.0
1909101,2304.0
2901104,2268.0
3801001,2152.0
3902102,2280.0
3903120,2274.0
3903121,2310.0
3903122,2233.0
3903123,2236.0
3903129,2169.0
3904102,2248.0
3905101,2245.0
3906101,2261.0
3907102,2254.0
4901101,2220.0
5901101,2302.0
5902101,2247.0
5903001,
5904101,2367.0
6902101,2301.0
7901101,2194.0
7902101,2269.0
7904101,2235.0
7905103,2182.0
7906102,2151.0
8901102,2280.0
8901105,2348.0
8902103,2176.0
8903102,2230.0
9901101,2204.0
10901101,2234.0
10902101,2210.0
10902102,2290.0
11901101,2202.0
11901102,2221.0
11901103,2241.0
11901107,2244.0
11902101,2180.0
11902102,2186.0
11904101,2232.0
11905101,2269.0
12901101,2300.0
13801101,2196.0
13901101,2210.0
13901102,2199.0
13901104,2239.0
13902101,2285.0
13903101,2325.0
13905101,2222.0
14803101,2033.0
14804001,
14901101,2218.0
14902101,2162.0
14903102,2267.0
14903103,2156.0
14903104,2182.0
14903108,2273.0
14903109,2296.0
14903111,2282.0
14905101,2246.0
14906022,
14906102,2343.0
14906103,2205.0
14906104,2252.0
14906105,2212.0
14906106,2244.0
14906108,2249.0
14906109,2243.0
14906110,2248.0
14906111,2234.0
14906112,2173.0
14906113,2215.0
14906115,2244.0
14906116,2196.0
14906119,2183.0
14906120,2200.0
14906121,2271.0
14906122,2248.0
14906123,2227.0
14906124,2298.0
14906125,2243.0
14906126,2242.0
14906127,2190.0
14906128,2238.0
14906129,2200.0
14906130,2278.0
14906131,2219.0
14907102,2249.0
14908101,2252.0
14909102,2305.0
14909107,2247.0
14909110,2131.0
14909111,2276.0
14909114,2201.0
14909115,2256.0
14909116,2112.0
14909117,2205.0
14909118,2183.0
14910101,2233.0
15803101,2349.0
15805101,2128.0
15806101,2183.0
15806103,2195.0
15809101,2166.0
15811101,2082.0
15815001,2134.0
15815101,2060.0
15819001,1976.0
15819101,
15819102,2094.0
15820001,2123.0
15822001,2165.0
15824001,2120.0
15825101,2115.0
15901101,2296.0
15901104,2303.0
15904101,2246.0
15904102,2238.0
15904103,2240.0
15904104,2260.0
15904105,2200.0
15904106,2164.0
15904107,2146.0
15904108,2200.0
15904109,2218.0
15904110,2228.0
15904111,2168.0
15904113,2231.0
15904114,2198.0
15904116,2272.0
15905101,2203.0
15905102,2096.0
15905104,2231.0
15905105,2126.0
15905106,2202.0
15905107,2174.0
15905108,2217.0
15905109,2127.0
15905112,2178.0
15905114,2192.0
15905115,2167.0
15905116,2173.0
15905117,2158.0
15906101,2287.0
15907101,2265.0
15907102,2183.0
15907103,2156.0
15907105,2265.0
15907106,2196.0
15907107,2238.0
15907108,2148.0
15907109,2180.0
15907110,2141.0
15907111,2128.0
15907112,2275.0
15907114,2109.0
15907115,2099.0
15907116,2143.0
15907117,2117.0
15907118,2143.0
15907119,2195.0
15907121,2148.0
15907123,2146.0
15907124,2171.0
15907125,2203.0
15907126,2207.0
15907127,2110.0
15907129,2165.0
15907131,2156.0
15907132,2107.0
15907134,2146.0
15907135,2168.0
15907136,2133.0
15907137,2105.0
15907139,2229.0
15907140,2154.0
15907141,2230.0
15907143,2118.0
15907144,2167.0
15907145,2115.0
15907146,2207.0
15907147,2140.0
15907148,2233.0
15907149,2209.0
15907150,2168.0
15907153,2190.0
15907155,2127.0
15907156,2151.0
15907157,2137.0
15907158,2144.0
15907159,2195.0
15907160,2166.0
15907161,2195.0
15907162,2157.0
15907164,2167.0
15907165,2089.0
15907167,2178.0
15907168,2175.0
15907169,2172.0
15907170,2173.0
15907171,2142.0
15907172,2126.0
15907173,2106.0
15907174,2181.0
15907175,2154.0
15907176,2205.0
15907179,2237.0
15907184,
15907194,
15908101,2160.0
15908104,2161.0
15908105,2177.0
15908106,2210.0
15908107,2156.0
15908108,2162.0
15908109,2194.0
15908110,2131.0
15908112,2220.0
15908113,2218.0
15909101,2163.0
15909104,2150.0
15910071,
15910101,2329.0
15910102,2283.0
15910103,2195.0
15910104,2198.0
15910105,2235.0
15910106,2253.0
15910107,2227.0
15910108,2218.0
15910109,2359.0
15910110,2231.0
15910111,2240.0
15910112,2216.0
15910113,2210.0
15910114,2167.0
15910115,2215.0
15910116,2216.0
15910117,2226.0
15910118,2170.0
15910119,2200.0
15910120,2182.0
15910121,2253.0
15910122,2149.0
15910123,2375.0
15910124,2286.0
15910125,2240.0
15910126,2307.0
15910127,2224.0
15910128,2327.0
15910129,2334.0
15910130,2300.0
15910131,2337.0
15910133,2371.0
15910134,2265.0
15910135,2305.0
15910136,2356.0
15910137,2293.0
15910138,2306.0
15910139,2354.0
15911101,2250.0
15911102,2214.0
15911103,2220.0
15911104,2256.0
15911106,2190.0
15912101,2172.0
15912102,2188.0
15912103,2160.0
15912104,2256.0
15912105,2160.0
15912106,2133.0
15912107,2274.0
15912108,2213.0
15912109,2253.0
15913101,2262.0
15914101,2275.0
15915101,2132.0
15915102,2211.0
15915103,2215.0
15915104,2285.0
15915105,2165.0
15915106,2180.0
15915108,2259.0
15915109,2293.0
15915111,2169.0
15915112,2216.0
15915113,2180.0
15915114,2169.0
15915115,2253.0
15915116,2232.0
15915117,2198.0
15915118,2191.0
15915119,2222.0
15915122,2160.0
15915123,2194.0
15915124,2188.0
15915125,2247.0
15915128,2189.0
15915131,2224.0
15915132,2212.0
15915134,2293.0
15915135,2201.0
15915136,2259.0
15915137,
15915138,2219.0
15915143,2277.0
15915144,2269.0
15915145,2237.0
15915149,2242.0
15915150,2228.0
15915151,2264.0
15915152,2341.0
15915156,2205.0
15915157,2276.0
15915158,2157.0
15915160,2219.0
15915161,2262.0
15915162,2205.0
15915165,2231.0
15915166,2233.0
15915167,2221.0
15915168,2248.0
15915169,2251.0
15915170,2264.0
15915180,2318.0
15915181,2344.0
15915183,2225.0
15916101,2272.0
15916102,2213.0
15916103,2216.0
15916104,2230.0
15916105,2145.0
15916106,2227.0
15916107,2259.0
15916109,2244.0
15916110,2265.0
15916111,2229.0
15916112,2169.0
15916113,2215.0
15916114,2206.0
15916115,2131.0
15917103,2179.0
15917104,2259.0
15917105,2243.0
16901101,2250.0
16902101,2267.0
17901001,2339.0
18901103,2242.0
18902101,2283.0
18903001,1999.0
18904101,2264.0
18905001,2199.0
18906001,2174.0
18907001,2299.0
18908001,
19901102,2356.0
19902102,2286.0
19903001,2257.0
19905101,2274.0
19906102,2165.0
19907105,2268.0
19907108,2222.0
19907109,2289.0
19907111,2277.0
19907113,2242.0
19907115,2181.0
19908103,2222.0
19909101,2219.0
19910101,2367.0
19911101,2384.0
19912102,2346.0
19913101,2297.0
19914101,2226.0
20901101,2273.0
20901104,2220.0
20901105,2262.0
20901107,2232.0
20901108,2196.0
20901109,2275.0
20901110,2256.0
20902102,2312.0
20902103,2236.0
20902104,2239.0
20902108,2236.0
20902109,2279.0
20904101,2266.0
20905101,2252.0
20905102,2339.0
20905104,2190.0
20905106,2174.0
20905107,2260.0
20905108,2210.0
20905109,2347.0
20905110,2159.0
20905111,2296.0
20905113,2281.0
20905114,2216.0
20906104,2246.0
20907102,2313.0
20907106,2311.0
20907107,2273.0
20908101,2214.0
20908102,2292.0
20908103,2326.0
20908104,2291.0
20908106,2286.0
20908107,2279.0
20908109,2288.0
20908110,2362.0
20910101,2277.0
21803001,
21901101,2288.0
21901102,2318.0
21901104,2321.0
21901105,2300.0
21901107,2336.0
21902101,2195.0
21902103,2265.0
21902105,2174.0
21902106,2181.0
21902107,2203.0
21902108,2333.0
21902110,2256.0
21902112,2355.0
21902113,2171.0
21902114,2238.0
21902115,2143.0
21902117,2372.0
21902118,2171.0
21902119,2205.0
22004101,2055.0
22901101,2250.0
22902001,
22903101,
23902001,2335.0
24801101,2328.0
24901101,2172.0
25901101,2324.0
25902101,2277.0
25904101,2082.0
25905101,2233.0
25906101,2203.0
25908101,2244.0
25909101,2308.0
26901042,2252.0
26902101,2232.0
26903101,2263.0
27903102,2327.0
27903104,2268.0
27904101,2237.0
27904103,2258.0
28902101,2233.0
28902103,2217.0
28902104,2203.0
28903101,2208.0
28906001,2179.0
29901101,2316.0
29901102,2291.0
29901104,2272.0
29901105,2353.0
29901107,2219.0
30901101,2303.0
30902103,2241.0
30903101,2167.0
30906101,2165.0
31901101,2162.0
31901102,2200.0
31901103,2208.0
31901104,2225.0
31901105,2161.0
31901106,2180.0
31901108,2226.0
31901109,2220.0
31901110,2277.0
31901111,2257.0
31901112,2168.0
31901113,2131.0
31901115,2195.0
31901116,2187.0
31901117,2200.0
31901120,2157.0
31901121,2160.0
31901122,2220.0
31901123,2234.0
31901124,2142.0
31901126,2134.0
31901128,2160.0
31901129,2202.0
31901130,2199.0
31901131,2129.0
31901132,2184.0
31901133,2229.0
31901134,2200.0
31901135,2202.0
31901136,2162.0
31901137,2252.0
31901138,2242.0
31903102,2238.0
31903103,2195.0
31903104,2203.0
31903105,2198.0
31903106,2214.0
31903107,2227.0
31903108,2208.0
31903109,2228.0
31903110,2241.0
31903111,2307.0
31903112,2194.0
31903114,2206.0
31903116,2187.0
31903117,2307.0
31903120,2202.0
31905105,2186.0
31906101,2218.0
31906102,2203.0
31906103,2199.0
31906104,2238.0
31906106,2253.0
31906107,2200.0
31909101,2232.0
31911103,2160.0
31912101,2188.0
31912103,2232.0
31912104,2289.0
31912106,2226.0
31912108,2210.0
31912109,2167.0
31912110,2252.0
31912112,2139.0
31912114,2226.0
31912115,2215.0
31913101,2193.0
31914101,2166.0
32902103,2189.0
33901001,2189.0
33902101,2347.0
33904102,2265.0
34901106,2265.0
34902101,2179.0
34903101,2211.0
34905102,2322.0
34906101,2291.0
34907101,2285.0
34908102,
34909101,2223.0
35901041,2158.0
35902101,2128.0
35903001,2265.0
36901101,2254.0
36902101,2284.0
36903101,2226.0
37901101,2227.0
37904004,
37904102,2290.0
37904103,2200.0
37904104,2201.0
37904105,2137.0
37907100,2189.0
37908001,2108.0
37909101,2185.0
38901102,2229.0
39901001,2236.0
39902101,2248.0
39903101,2204.0
39904001,2190.0
39905001,2139.0
40901102,2106.0
40902101,2346.0
41901101,2178.0
41902101,2344.0
42901102,2231.0
42903101,2192.0
42905101,2313.0
42906001,2096.0
43901101,2331.0
43901102,2233.0
43901104,2299.0
43901105,2273.0
43901106,2339.0
43901107,2349.0
43901108,2386.0
43901109,2309.0
43901110,2344.0
43901111,2380.0
43901112,2270.0
43902101,2222.0
43903042,2235.0
43904102,2277.0
43905102,2319.0
43905103,2353.0
43905104,2336.0
43905105,2355.0
43905106,2241.0
43905107,2336.0
43905108,2294.0
43905109,2334.0
43905110,2297.0
43905111,2300.0
43905112,2308.0
43905113,2314.0
43905114,2270.0
43905115,2280.0
43907102,2245.0
43907104,2254.0
43907105,2263.0
43907107,2187.0
43907108,2403.0
43907109,2354.0
43907110,2351.0
43907111,2294.0
43907112,2393.0
43907113,2377.0
43907115,2363.0
43907116,2348.0
43907117,2342.0
43907118,2252.0
43907119,2242.0
43907120,2357.0
43908102,2197.0
43910101,2306.0
43910102,2219.0
43910103,2245.0
43910104,2292.0
43910105,2233.0
43910106,2309.0
43910108,2282.0
43910109,2241.0
43910111,2330.0
43910112,2226.0
43910113,2238.0
43910114,2382.0
43910115,2324.0
43910116,2312.0
43910117,2256.0
43910118,2309.0
43910119,2336.0
43910120,2310.0
43910121,2325.0
43910122,2410.0
43910123,2363.0
43910124,2287.0
43910125,2327.0
43910126,2329.0
43910127,2312.0
43910128,2314.0
43910129,2320.0
43910130,2347.0
43910131,2324.0
43910132,2365.0
43910133,2379.0
43910134,2361.0
43910136,2332.0
43910138,2360.0
43910139,2305.0
43910140,2315.0
43910141,2350.0
43910142,2292.0
43910143,2211.0
43910144,2373.0
43911102,2288.0
43912101,2315.0
43914101,2226.0
43914102,2247.0
43914103,2238.0
43914104,2285.0
43914105,2254.0
43917101,2225.0
43918042,2268.0
43919101,2368.0
43919102,2329.0
44902101,2294.0
44904001,2391.0
45902101,2227.0
45903101,2195.0
45903102,2266.0
45903103,2303.0
45905102,2140.0
46801001,
46901103,2273.0
46901104,2259.0
46901108,2263.0
46902101,2320.0
46902102,2241.0
46902105,2262.0
46902107,2272.0
46902108,2251.0
